PC58,chori_002's Charizard-Y Typhlosion Team,,chori_002,,,,Charizardite Y,,,White Herb,,,Choice Scarf,,,Mystic Water,,,Focus Sash,,,Black Glasses,,https://pokepast.es/c56fb9a215d05d49,Yes,Extracted,✔,ALPW4XDVN6,9 Apr 2026,-,,https://x.com/chori_002/status/2042105860751827336?s=46,-,-,chori_002,,Charizard-Mega-Y,Tauros-Paldea-Blaze,Typhlosion-Hisui,Greninja,Whimsicott,Kingambit,,PC58
PC57,db_jecheonjo's Alakazam Snorlax Team,,db_jecheonjo,,,,Alakazite,,,Passho Berry,,,Choice Scarf,,,Focus Sash,,,Leftovers,,,Colbur Berry,,https://pokepast.es/6937a1c50640c0cb,Yes,Extracted,✔,BCTX0AAH16,9 Apr 2026,-,,https://x.com/db_jecheonjo/status/2042139863773016472?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,db_jecheonjo,,Alakazam-Mega,Incineroar,Pelipper,Sneasler,Snorlax,Sinistcha,,PC57
PC56,Avalos_VGC's Gengar Rain Team,,Avalos_VGC,,,,Gengarite,,,Sitrus Berry,,,Mystic Water,,,Leftovers,,,White Herb,,,Focus Sash,,https://pokepast.es/6415201fde475180,Yes,Extracted,✔,NGGG98U38U,9 Apr 2026,-,,https://x.com/Avalos_VGC/status/2042146932743692518?s=20,-,-,Avalos_VGC,,Gengar-Mega,Incineroar,Basculegion,Politoed,Sneasler,Whimsicott,,PC56
PC55,ireedminds' Gengar Rain Team,,ireedminds,,,,Gengarite,,,Mystic Water,,,Focus Sash,,,White Herb,,,Sitrus Berry,,,Leftovers,,https://pokepast.es/d3a2bcf9028ff452,Yes,Extracted,X,None,9 Apr 2026,-,,https://x.com/ireedminds/status/2042125328659677640?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,ireedminds,,Gengar-Mega,Basculegion,Pelipper,Sneasler,Sinistcha,Archaludon,,PC55
PC54,luixens' Froslass Altaria Team,,luixens,,,,Froslassite,,,Sitrus Berry,,,Leftovers,,,Focus Sash,,,King's Rock,,,Choice Scarf,,https://pokepast.es/95003e747868e30b,Yes,Extracted,✔,WSSD25342V,9 Apr 2026,-,,https://x.com/luixens/status/2041966200834367943?s=46,-,-,luixens,,Froslass-Mega,Incineroar,Milotic,Meowscarada,Altaria,Garchomp,,PC54
PC53,Mattia's Charizard-Y Hydreigon Team,,Mattia,,,,Charizardite Y,,,Sitrus Berry,,,Focus Sash,,,White Herb,,,Occa Berry,,,Choice Scarf,,https://pokepast.es/5b33b81bb8fd6380,Yes,Extracted,✔,GLYXPJELWF,8 Apr 2026,-,,https://x.com/mattyivgc/status/2042100357635981327?s=46,-,-,mattyivgc,,Charizard-Mega-Y,Incineroar,Venusaur,Sneasler,Whimsicott,Hydreigon,,PC53
PC52,shuuka_poke's Charizard-Y Whimsicott Team,,shuuka_poke,,,,Charizardite Y,,,Sitrus Berry,,,Leftovers,,,White Herb,,,Focus Sash,,,Choice Scarf,,https://pokepast.es/678854831face3cf,Yes,Extracted,✔,FSQRTQKDY2,8 Apr 2026,-,,https://x.com/shuuka_poke/status/2042105670649225511?s=20,-,-,shuuka_poke,,Charizard-Mega-Y,Incineroar,Rotom-Wash,Sneasler,Whimsicott,Garchomp,,PC52
PC51,KaizenUY's Kangaskhan Milotic Team,,KaizenUY,,,,Kangaskhanite,,,Sharp Beak,,,Sitrus Berry,,,Metal Coat,,,Choice Scarf,,,White Herb,,https://pokepast.es/d2a99ad89e29efad,Yes,Extracted,✔,6DEV39EQAP,8 Apr 2026,-,,https://x.com/KaizenVGC_UY/status/2042042452458995826,-,-,KaizenVGC_UY,,Kangaskhan-Mega,Talonflame,Milotic,Scizor,Gardevoir,Garchomp,,PC51
PC50,AtmsLove's Charizard-Y Dragapult Team,,AtmsLove,,,,Charizardite Y,,,Sitrus Berry,,,Soft Sand,,,Focus Sash,,,Leftovers,,,Focus Band,,https://pokepast.es/b0a22d3e55b19e68,Yes,Extracted,✔,RRDXBH6NH8,8 Apr 2026,-,,https://x.com/AtmsLove/status/2041780043073122661,-,-,AtmsLove,,Charizard-Mega-Y,Incineroar,Mamoswine,Whimsicott,Archaludon,Dragapult,,PC50
PC49,Michael's Delphox Tsareena Team,,Michael Zhang,,,,Delphoxite,,,Sharp Beak,,,Leftovers,,,Sitrus Berry,,,Metal Coat,,,White Herb,,https://pokepast.es/af7cfeb07b64c06d,Yes,Extracted,✔,043XALJ9UB,8 Apr 2026,-,,https://x.com/eternalsnowman/status/2042080310016545076?s=46,-,-,eternalsnowman,,Delphox-Mega,Talonflame,Gyarados,Tsareena,Scizor,Garchomp,,PC49
PC48,sasisu's Kangaskhan Kommo-o Team,,Mao Harada,,,,Kangaskhanite,,,Chople Berry,,,Charti Berry,,,Lum Berry,,,Sitrus Berry,,,Leftovers,,https://pokepast.es/ee54189bc5fef0e7,Yes,Extracted,✔,U5PF6URV05,8 Apr 2026,-,,https://x.com/sasisu_memo/status/2042154004130750854?s=20,-,-,sasisu_memo,,Kangaskhan-Mega,Incineroar,Volcarona,Milotic,Sinistcha,Kommo-o,,PC48
PC47,daikousin's Charizard-Y Garchomp Team,,daikousin,,,,Charizardite Y,,,Focus Sash,,,White Herb,,,Mental Herb,,,Sitrus Berry,,,Choice Scarf,,https://pokepast.es/e719505bd0ee64ca,Yes,Extracted,✔,579P9SJTCF,8 Apr 2026,-,,https://x.com/daikousin45/status/2042071892690084066?s=46,-,-,daikousin45,,Charizard-Mega-Y,Basculegion,Sneasler,Whimsicott,Gardevoir,Garchomp,,PC47
PC46,Bruneaux's Orthworm Raichu Team,,Matt Bruno,,,,Lum Berry,,,Focus Sash,,,Leftovers,,,Sitrus Berry,,,Choice Scarf,,,White Herb,,https://pokepast.es/2a1f5330dd8c5c1a,Yes,Extracted,✔,3C91TBMG5E,8 Apr 2026,Video,,https://x.com/bruneaux/status/2041895889094984135?s=46,https://youtu.be/Fij6b0N52qE?si=iMpmUR3M7EP5w4C3,-,bruneaux,,Gyarados,Raichu,Whimsicott,Orthworm,Gardevoir,Garchomp,,PC46
PC45,EldritchEm's Gardevoir Arcanine Team,,EldritchEm,,,,Gardevoirite,,,White Herb,,,Choice Scarf,,,Focus Sash,,,Leftovers,,,Sitrus Berry,,https://pokepast.es/4ae1cebfae5717a7,Yes,Extracted,✔,24N6994PVH,8 Apr 2026,-,,https://x.com/EldritchEmma/status/2041981639127900197?s=20,-,-,EldritchEmma,,Gardevoir-Mega,Arcanine-Hisui,Basculegion,Whimsicott,Kingambit,Ninetales-Alola,,PC45
PC44,Osirus' Tyranitar Sneasler Team,,Lee Provost,,,,Tyranitarite,,,Shuca Berry,,,Sitrus Berry,,,Focus Sash,,,White Herb,,,Leftovers,,https://pokepast.es/d0d6945857b3225c,Yes,Extracted,✔,1F9HKRRBX5,8 Apr 2026,-,,https://x.com/osirusvgc/status/2042037634432655543?s=20,-,-,osirusvgc,,Tyranitar-Mega,Incineroar,Rotom-Wash,Excadrill,Sneasler,Corviknight,,PC44
PC43,Kanzaki's Tyranitar Delphox Team,,Tatsuki Wakita,,,,Delphoxite,,,Tyranitarite,,,Leftovers,,,Choice Scarf,,,Sitrus Berry,,,Fairy Feather,,https://pokepast.es/5192b490a9d0b9ad,Yes,Extracted,✔,L064T24LQD,8 Apr 2026,-,,https://x.com/Kanzaki_poke/status/2041880919058084174?s=20,-,-,Kanzaki_poke,,Delphox-Mega,Tyranitar-Mega,Milotic,Excadrill,Sinistcha,Sylveon,,PC43
PC42,migawari's Gengar Chesnaught Team,,migawari,,,,Chesnaughtite,,,Gengarite,,,Sitrus Berry,,,Charti Berry,,,Fairy Feather,,,Dragon Fang,,https://pokepast.es/6c6bd18f732dd625,Yes,Extracted,✔,NGJK1XGDL3,8 Apr 2026,-,,https://x.com/migawari3/status/2041943909862142015?s=20,-,-,migawari3,,Chesnaught-Mega,Gengar-Mega,Incineroar,Volcarona,Sylveon,Dragonite,,PC42
PC41,Gawhota's Tyranitar Charizard-Y Team,,Shu Suezaki,,,,Charizardite Y,,,Tyranitarite,,,Chople Berry,,,Choice Scarf,,,Fairy Feather,,,White Herb,,https://pokepast.es/6dbb62246fdfabd5,Yes,Extracted,✔,HQY13MB8W2,8 Apr 2026,-,,https://x.com/Gawhota/status/2041933472064008604?s=20,-,-,Gawhota,,Charizard-Mega-Y,Tyranitar-Mega,Incineroar,Rotom-Wash,Whimsicott,Garchomp,,PC41
PC40,AGNI's Glimmora Decidueye-Hisui Team,,AGNI,,,,Glimmoranite,,,Sharp Beak,,,Choice Scarf,,,Scope Lens,,,Sitrus Berry,,,Lum Berry,,https://pokepast.es/fbef06931d2e689b,Yes,Extracted,✔,2MEP9XXRGM,8 Apr 2026,-,,https://x.com/agnivgc/status/2042079838346080562?s=46,-,-,agnivgc,,Glimmora-Mega,Talonflame,Basculegion,Decidueye-Hisui,Farigiraf,Garchomp,,PC40
PC39,Yunittoyuni's Froslass Rotom-Frost Team,,Yuma Suzuki,,,,Froslassite,,,Sitrus Berry,,,Leftovers,,,Choice Scarf,,,Focus Sash,,,White Herb,,https://pokepast.es/117ae4733a57dc9f,Yes,Extracted,✔,NKKA1P7HAR,8 Apr 2026,-,,https://x.com/Yunittoyuni/status/2041906780943589607?s=20,-,-,Yunittoyuni,,Froslass-Mega,Incineroar,Empoleon,Rotom-Frost,Kingambit,Garchomp,,PC39
PC38,WDMichael's Golurk Trick Room Team,,WDMichael,,,,Golurkite,,,Charcoal,,,Focus Sash,,,Mental Herb,,,Fairy Feather,,,Choice Scarf,,https://pokepast.es/3c9296a37a47bbd8,Yes,Extracted,✔,HH3MF048VV,8 Apr 2026,-,,https://x.com/Its_WDMichael/status/2041997744106033228?s=20,-,-,Its_WDMichael,,Golurk-Mega,Torkoal,Clefable,Oranguru,Hatterene,Hydreigon,,PC38
PC37,JMOdri's Gardevoir Aegislash Team,,Juan Manuel Odriozola,,,,Gardevoirite,,,Sitrus Berry,,,Mystic Water,,,Focus Sash,,,White Herb,,,Lum Berry,,https://pokepast.es/7e0e118ebba4b4d5,No,Extracted,X,None,8 Apr 2026,-,,https://x.com/JMOdriVGC/status/2042016729480478767?s=20,-,-,JMOdriVGC,,Gardevoir-Mega,Incineroar,Tauros-Paldea-Aqua,Vivillon,Aegislash,Hydreigon,,PC37
PC36,starfish0206's Gardevoir Rain Team,,starfish0206,,,,Gardevoirite,,,Mystic Water,,,Focus Sash,,,White Herb,,,Sitrus Berry,,,Chople Berry,,https://pokepast.es/7d6376d18a771f84,Yes,Extracted,✔,G9PKNSAWMC,8 Apr 2026,-,,https://x.com/starfish0206/status/2041919344767287584?s=20,-,-,starfish0206,,Gardevoir-Mega,Basculegion,Pelipper,Sneasler,Sinistcha,Archaludon,,PC36
PC35,Riopaser's Starmie Dragonite Team,,Eric Ríos,,,,Dragoninite,,,Starminite,,,Choice Scarf,,,Focus Sash,,,Sitrus Berry,,,Chople Berry,,https://pokepast.es/b4e6c8c7defc278f,Yes,Extracted,✔,WCB10JDC3M,8 Apr 2026,-,,https://x.com/riopaser/status/2041995150876889343?s=20,-,-,riopaser,,Dragonite-Mega,Starmie-Mega,Pelipper,Sneasler,Sinistcha,Kingambit,,PC35
PC34,DDee's Gengar Sneasler Team,,Michael Uko,,,,Gengarite,,,Charti Berry,,,Sitrus Berry,,,White Herb,,,Focus Sash,,,Dragon Fang,,https://pokepast.es/9257d9ace82ca524,Yes,Extracted,✔,S5WSGJ449Y,8 Apr 2026,-,,https://x.com/ddee_ssbu/status/2042041242981159074?s=20,-,-,ddee_ssbu,,Gengar-Mega,Incineroar,Rotom-Wash,Sneasler,Whimsicott,Dragonite,,PC34
PC33,xx_z2z's Floette Gyarados Team,,xx_z2z,,,,Floettite,,,Gyaradosite,,,Sitrus Berry,,,Focus Sash,,,Lum Berry,,,Leftovers,,https://pokepast.es/57d01c2afc82f93f,Yes,Extracted,✔,D1NM3GV4VU,8 Apr 2026,-,,https://x.com/xx_z2z/status/2042008064661057966?s=20,-,-,xx_z2z,,Floette-Mega,Gyarados-Mega,Incineroar,Sneasler,Tyranitar,Aegislash,,PC33
PC32,cantfly's Charizard-Y Gengar Team,,Yuma Miyamoto,,,,Charizardite Y,,,Gengarite,,,Chople Berry,,,Sitrus Berry,,,Focus Sash,,,Black Glasses,,https://pokepast.es/4b318f785bc4864a,Yes,Extracted,✔,QG25933G2V,8 Apr 2026,-,,https://x.com/cantfly_ss/status/2041979110558462210?s=46,-,-,cantfly_ss,,Charizard-Mega-Y,Gengar-Mega,Incineroar,Rotom-Wash,Maushold,Kingambit,,PC32
PC31,UB_SLOW's Gengar Kommo-o Team,,Kaito Arii,,,,Gengarite,,,Shuca Berry,,,Choice Scarf,,,Sitrus Berry,,,Chople Berry,,,Leftovers,,https://pokepast.es/50c3bdabb5fe8186,Yes,Extracted,✔,FNWB95NJDH,8 Apr 2026,-,,https://x.com/ub_slow/status/2041887487271059457?s=46,-,-,ub_slow,,Gengar-Mega,Incineroar,Tyranitar,Sinistcha,Kingambit,Kommo-o,,PC31
PC30,Kokoro's Aerodactyl Chandelure Team,,Bingjie Wang,,,,Aerodactylite,,,White Herb,,,Black Belt,,,Sitrus Berry,,,Focus Sash,,,Black Glasses,,https://pokepast.es/47a4a221b0951f16,Yes,Extracted,✔,C55QJVFDHU,8 Apr 2026,-,,https://x.com/aotobj98/status/2041948092128497962?s=20,-,-,aotobj98,,Aerodactyl-Mega,Basculegion,Conkeldurr,Clefable,Chandelure,Kingambit,,PC30
PC29,soulkw's Glimmora Corviknight Team,,soulkw,,,,Glimmoranite,,,Lum Berry,,,Chople Berry,,,Sitrus Berry,,,Leftovers,,,Mental Herb,,https://pokepast.es/1cc9a06ce9238dd9,Yes,Extracted,✔,903QC2S03R,8 Apr 2026,Video,,Discord Submission,https://youtu.be/BbiKxQjJCic?si=01YYdIxpukRXboeO,-,Manual Entry,,Glimmora-Mega,Milotic,Tyranitar,Sinistcha,Corviknight,Dragonite,,PC29
PC28,alcana's Charizard-Y Kingambit Team,,Kiwamu Endo,,,,Charizardite Y,,,Sitrus Berry,,,Lum Berry,,,Focus Sash,,,Black Glasses,,,Choice Scarf,,https://pokepast.es/afb6d3030eceb66b,Yes,Extracted,✔,DMFYGFVFG2,8 Apr 2026,-,,https://x.com/alcana_10906/status/2041897343533175261?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,alcana_10906,,Charizard-Mega-Y,Incineroar,Gyarados,Venusaur,Kingambit,Garchomp,,PC28
PC27,Ryoma's Charizard-Y Meowscarada Team,,Ryoma Okamoto,,,,Charizardite Y,,,Sitrus Berry,,,Focus Sash,,,Mental Herb,,,Occa Berry,,,Choice Scarf,,https://pokepast.es/27875ee6d9d307bd,Yes,Extracted,✔,LSH05DG4DD,8 Apr 2026,-,,https://x.com/ryoma9901_poke/status/2041894801034113322?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,ryoma9901_poke,,Charizard-Mega-Y,Incineroar,Meowscarada,Whimsicott,Kingambit,Garchomp,,PC27
PC26,Ak's Tyranitar Excadrill Team,,Ak,,,,Tyranitarite,,,Quick Claw,,,Lum Berry,,,Focus Sash,,,Sitrus Berry,,,Leftovers,,https://pokepast.es/fd4d8fe3faf48088,Yes,Extracted,✔,SWJJJ2QTBE,8 Apr 2026,-,,https://x.com/xenotrails/status/2041851423160148011?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,xenotrails,,Tyranitar-Mega,Rotom-Heat,Gyarados,Excadrill,Sinistcha,Corviknight,,PC26
PC25,gahaku's Floette Tyranitar Team,,Masahiro Ito,,,,Floettite,,,Tyranitarite,,,Sitrus Berry,,,White Herb,,,Roseli Berry,,,Leftovers,,https://pokepast.es/65b7228ad81523a5,Yes,Extracted,✔,456F1HK40C,8 Apr 2026,-,,https://x.com/gahaku_poke/status/2041880067425673607?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,gahaku_poke,,Floette-Mega,Tyranitar-Mega,Incineroar,Excadrill,Sableye,Sinistcha,,PC25
PC24,Gardevoir_3710's Gardevoir Charizard-Y Team,,Gardevoir_3710,,,,Charizardite Y,,,Gardevoirite,,,Lum Berry,,,Focus Sash,,,Sitrus Berry,,,White Herb,,https://pokepast.es/ac6bf5293fe0b45b,Yes,Extracted,✔,YLWNRUGT1W,8 Apr 2026,-,,https://x.com/gardevoir_3710/status/2041868371705405574?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,gardevoir_3710,,Charizard-Mega-Y,Gardevoir-Mega,Incineroar,Aerodactyl,Sinistcha,Garchomp,,PC24
PC23,kurbito's Floette Gyarados Team,,kurbito,,,,Floettite,,,Gyaradosite,,,Sitrus Berry,,,White Herb,,,Focus Sash,,,Occa Berry,,https://pokepast.es/ca9b06a83cf2debb,Yes,Extracted,✔,USPG0CRAAG,8 Apr 2026,-,,https://x.com/kurbitoo/status/2041881706416803922?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,kurbitoo,,Floette-Mega,Gyarados-Mega,Rotom-Wash,Sneasler,Tyranitar,Maushold,,PC23
PC22,TheXich's Gengar Politoed Team,,Joaquín Blanch,,,,Gengarite,,,Shuca Berry,,,Leftovers,,,Focus Sash,,,White Herb,,,Choice Scarf,,https://pokepast.es/f61e5288d2aa5eac,Yes,Extracted,✔,CNEQN25P6T,8 Apr 2026,-,,https://x.com/ximoblanch/status/2041885958853828927?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,ximoblanch,,Gengar-Mega,Incineroar,Politoed,Aerodactyl,Sneasler,Garchomp,,PC22
PC21,Itachi's Clefable Froslass Team,,Itachi,,,,Clefablite,,,Froslassite,,,Lucarionite,,,Focus Sash,,,Lum Berry,,,White Herb,,https://pokepast.es/1ae6fe2e30924e62,Yes,Extracted,✔,OHT9W5N2GY,8 Apr 2026,-,,https://x.com/itachivgc/status/2042098612000153900?s=46,-,-,itachivgc,,Clefable-Mega,Froslass-Mega,Lucario-Mega,Greninja,Aerodactyl,Garchomp,,PC21
PC20,Rod's Charizard-X Kingambit Team,,Rod,,,,Charizardite X,,,Sitrus Berry,,,White Herb,,,Kasib Berry,,,Chople Berry,,,Focus Sash,,https://pokepast.es/f18c096e9fe43183,Yes,Extracted,✔,K4JMDSJ4TG,8 Apr 2026,-,,https://x.com/trnrrodvgc/status/2041874130790985814?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,trnrrodvgc,,Charizard-Mega-X,Rotom-Wash,Sneasler,Sinistcha,Kingambit,Ninetales-Alola,,PC20
PC19,LenVGC's Charizard-Y Milotic Team,,Alex Soto,,,,Charizardite Y,,,Sitrus Berry,,,Leftovers,,,Focus Sash,,,Choice Scarf,,,Lum Berry,,https://pokepast.es/1cd7e7e56eaf9989,No,Extracted,X,None,8 Apr 2026,-,,https://x.com/lenvgc/status/2041852049759912288?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,lenvgc,,Charizard-Mega-Y,Incineroar,Milotic,Venusaur,Gardevoir,Garchomp,,PC19
PC18,murasaki's Starmie Gengar Team,,murasaki,,,,Gengarite,,,Starminite,,,Sitrus Berry,,,Focus Sash,,,Leftovers,,,Choice Scarf,,https://pokepast.es/a1bfead109c102c5,Yes,Extracted,✔,Q5EHBSL7AJ,8 Apr 2026,-,,https://x.com/murasaki5682/status/2041852695540330842?s=46,-,-,murasaki5682,,Gengar-Mega,Starmie-Mega,Incineroar,Whimsicott,Sinistcha,Gardevoir,,PC18
PC17,KURO's Blastoise Pelipper Team,,Masayoshi Kuroo,,,,Blastoisinite,,,Choice Scarf,,,Focus Sash,,,Kasib Berry,,,Black Glasses,,,Lum Berry,,https://pokepast.es/e466c9ea74393352,Yes,Extracted,✔,3CX2QF4GJJ,8 Apr 2026,-,,https://x.com/f_kc56/status/2041855353965703376?s=46,-,-,f_kc56,,Blastoise-Mega,Pelipper,Sneasler,Sinistcha,Kingambit,Garchomp,,PC17
PC16,Castorbrown's Chesnaught Feraligatr Team,,Castorbrown,,,,Chesnaughtite,,,Feraligite,,,Chople Berry,,,Focus Sash,,,Sitrus Berry,,,Shuca Berry,,https://pokepast.es/cd4e8268fbb78930,Yes,Owner's,✔,QDMHCY7522,8 Apr 2026,-,,https://x.com/CastorbrownVGC/status/2041849293632643490?s=20,https://x.com/CastorbrownVGC/status/2043063198182707234?s=20,-,CastorbrownVGC,,Chesnaught-Mega,Feraligatr-Mega,Incineroar,Pelipper,Sinistcha,Archaludon,,PC16
PC15,AxoIotIMan's Greninja Rain Team,,AxoIotIMan,,,,Greninjite,,,Meganiumite,,,Mystic Water,,,Focus Sash,,,White Herb,,,Leftovers,,https://pokepast.es/33efc3571458f507,Yes,Extracted,✔,9UAJLU4DPC,8 Apr 2026,-,,https://x.com/AxoIotIMan/status/2041847407923564705,-,-,AxoIotIMan,,Greninja-Mega,Meganium-Mega,Basculegion,Pelipper,Sneasler,Archaludon,,PC15
PC14,Viera's Hawlucha Excadrill Team,,Shoma Honami,,,,Hawluchanite,,,Focus Sash,,,Passho Berry,,,White Herb,,,Bright Powder,,,Black Glasses,,https://pokepast.es/f6e9dedbc3824ec2,Yes,Extracted,✔,LJQWUJQ48R,8 Apr 2026,-,,https://x.com/SHADEviera/status/2041839532405092431?s=20,-,-,SHADEviera,,Hawlucha-Mega,Excadrill,Tyranitar,Weavile,Whimsicott,Kingambit,,PC14
PC13,Xeb_41's Palafin Klefki Team,,Ioannis Baziotis,,,,Dragoninite,,,Sitrus Berry,,,Mystic Water,,,Focus Sash,,,Leftovers,,,Shuca Berry,,https://pokepast.es/9e3311c12da3dd8c,Yes,Extracted,✔,D96E6SXLN8,8 Apr 2026,-,,https://x.com/xeb_41/status/2041807836699635796?s=46,-,-,xeb_41,,Dragonite-Mega,Incineroar,Palafin,Pelipper,Sinistcha,Klefki,,PC13
PC12,kurbito's Charizard-Y Gengar Team,,kurbito,,,,Charizardite Y,,,Gengarite,,,Sitrus Berry,,,Focus Sash,,,Occa Berry,,,Leftovers,,https://pokepast.es/39c5a1a8db1bfc62,Yes,Extracted,✔,JS1MBVV6N0,8 Apr 2026,-,,https://x.com/kurbitoo/status/2041811031874228421?s=46,-,-,kurbitoo,,Charizard-Mega-Y,Gengar-Mega,Incineroar,Maushold,Whimsicott,Kommo-o,,PC12
PC11,PokeAlex's Gengar Vivillon Team,,Alex Gómez,,,,Gengarite,,,Sitrus Berry,,,Mystic Water,,,Leftovers,,,Focus Sash,,,Black Glasses,,https://pokepast.es/3bf7b5f39d888164,Yes,Extracted,✔,QMD2FVQ3Q8,8 Apr 2026,-,,https://x.com/PokeAlex_/status/2041822200622129371,-,-,PokeAlex_,,Gengar-Mega,Incineroar,Basculegion,Politoed,Vivillon,Kingambit,,PC11
PC10,Huyubare's Charizard-Y Garchomp Team,,Ko Tsukide,,,,Charizardite Y,,,Sitrus Berry,,,White Herb,,,Chople Berry,,,Focus Sash,,,Yache Berry,,https://pokepast.es/d9260baad4fd55f8,Yes,Extracted,✔,GRJP9BKHTD,8 Apr 2026,-,,https://x.com/huyubare_poke/status/2041817415768817869?s=46,-,-,huyubare_poke,,Charizard-Mega-Y,Incineroar,Sneasler,Maushold,Whimsicott,Garchomp,,PC10
PC9,Maxime Solemn's Floette Rain Team,,Maxime Solemn,,,,Floettite,,,Sitrus Berry,,,Choice Scarf,,,Focus Sash,,,Mental Herb,,,Leftovers,,https://pokepast.es/25f83118d80c9b7b,Yes,Extracted,✔,1TVJQCS956,8 Apr 2026,-,,https://x.com/MaximeSolemn/status/2042364328137871562,-,-,MaximeSolemn,,Floette-Mega,Incineroar,Basculegion,Pelipper,Sinistcha,Archaludon,,PC9
PC8,white_shade25's Froslass Talonflame Team,,white_shade25,,,,Froslassite,,,Sharp Beak,,,Leftovers,,,Black Glasses,,,Focus Sash,,,Soft Sand,,https://pokepast.es/a08bebd702e950d7,Yes,Extracted,✔,PUVCUTC614,7 Apr 2026,-,,https://x.com/white_shade25/status/2041763848517251567?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,white_shade25,,Froslass-Mega,Talonflame,Milotic,Kingambit,Gardevoir,Garchomp,,PC8
PC7,ChyrWill's Charizard-Y Rotom-Wash Team,,Chyr Wei,,,,Charizardite Y,,,Shuca Berry,,,Leftovers,,,Occa Berry,,,Focus Sash,,,Soft Sand,,https://pokepast.es/ed2b91715dee6ee6,Yes,Extracted,✔,QTTH2EVDH3,7 Apr 2026,-,,https://x.com/chyrwill/status/2041770730887770321?s=46,-,-,chyrwill,,Charizard-Mega-Y,Incineroar,Rotom-Wash,Venusaur,Whimsicott,Garchomp,,PC7
PC6,Ze Banded's Floette Aerodactyl Team,,Ze Banded,,,,Aerodactylite,,,Floettite,,,Chople Berry,,,Focus Sash,,,Sitrus Berry,,,Kasib Berry,,https://pokepast.es/089009ee697143a1,Yes,Extracted,✔,RTV01GQCSS,7 Apr 2026,-,,https://x.com/ZeBanded/status/2041765298999886250?s=20,-,-,ZeBanded,,Aerodactyl-Mega,Floette-Mega,Incineroar,Sneasler,Sinistcha,Dragapult,,PC6
PC5,Apex__Dragon's Charizard-Y Gengar Team,,Apex__Dragon,,,,Charizardite Y,,,Gengarite,,,Sitrus Berry,,,Mental Herb,,,Focus Sash,,,White Herb,,https://pokepast.es/75305098e352b472,Yes,Extracted,✔,LNU48DA4AT,7 Apr 2026,-,,https://x.com/Apex__Dragon/status/2041726825970508287,-,-,Apex__Dragon,,Charizard-Mega-Y,Gengar-Mega,Incineroar,Maushold,Whimsicott,Garchomp,,PC5
PC4,Sarapoke0914's Charizard-Y Whimsicott Team,,Sarapoke0914,,,,Charizardite Y,,,Sitrus Berry,,,Soft Sand,,,Focus Sash,,,Leftovers,,,Dragon Fang,,https://pokepast.es/2062f89cf4913aa4,Yes,Extracted,✔,FMWQQ1N1YN,7 Apr 2026,-,,https://x.com/sarapoke0914/status/2041736356100239501?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,sarapoke0914,,Charizard-Mega-Y,Incineroar,Mamoswine,Whimsicott,Archaludon,Dragapult,,PC4
PC3,Wiltank's Froslass Palafin Team,,Will Inabinet,,,,Froslassite,,,Sitrus Berry,,,Mystic Water,,,Leftovers,,,Black Glasses,,,Fairy Feather,,https://pokepast.es/e93d812ac5b4ccd9,Yes,Extracted,✔,9QTFUT56VM,7 Apr 2026,-,,https://x.com/wiltank/status/2041731107297632543?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,wiltank,,Froslass-Mega,Incineroar,Palafin,Sinistcha,Kingambit,Sylveon,,PC3
PC2,Sarapoke0914's Gengar Rain Team,,Sarapoke0914,,,,Gengarite,,,Sitrus Berry,,,Mystic Water,,,Wacan Berry,,,Mental Herb,,,Leftovers,,https://pokepast.es/7eb4acd88aad8376,Yes,Extracted,✔,S9H3AEGYV9,7 Apr 2026,-,,https://x.com/Sarapoke0914/status/2041712294951084193?s=20,-,-,Sarapoke0914,,Gengar-Mega,Incineroar,Basculegion,Politoed,Sinistcha,Archaludon,,PC2
PC1,NatusPKMN's Meganium Rain Team,,Nate Innocenti,,,,Meganiumite,,,Lum Berry,,,Choice Scarf,,,Sitrus Berry,,,Focus Sash,,,White Herb,,https://pokepast.es/0039fa7d566e65c8,Yes,Extracted,✔,K5N29KPU9T,7 Apr 2026,-,,https://x.com/natuspkmn/status/2041714483962232941?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,natuspkmn,,Meganium-Mega,Talonflame,Basculegion,Politoed,Maushold,Archaludon,,PC1
